Date,Reservoir,System,Capacity_(MCM),Inflow_Last_24H(MCM),Inflow_Since_01/10_(MCM),CurrentStorage(MCM),CurrentStorage(%),Storage_y-1(MCM),Storage_y-1(%),MaxStorage_y-1(MCM),MaxStorage_y-1(date)
2024-12-10,Κούρης,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,115.0,0.257,10.813,25.562,22.23,91.138,79.3,94.238,15/2
2024-12-10,Καλαβασός,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,17.1,0.126,4.07,4.017,23.49,8.877,51.9,9.276,26/3
2024-12-10,Λεύκαρα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.85,0.083,3.427,6.055,43.72,12.879,93.0,13.026,2/2
2024-12-10,Διπόταμος,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,15.5,0.165,5.012,4.234,27.32,10.358,66.8,10.645,26/4
2024-12-10,Γερμασόγεια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,13.5,0.238,5.724,3.0500000000000003,22.59,6.404,47.4,7.298,19/2
2024-12-10,Αρμίνου_,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,4.3,0.287,7.463,1.174,27.3,1.983,46.1,4.114,10/5
2024-12-10,Πολεμίδια,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,3.4,0.032,0.947,1.127,33.15,1.895,55.7,2.039,26/3
2024-12-10,Άχνα,ΝΟΤΙΟΣ ΑΓΩΓΟΣ,6.8,0.0,0.0,0.999,14.69,4.252,62.5,4.591,18/2
2024-12-10,Ασπρόκρεμμος,ΠΑΦΟΣ,52.375,0.428,7.286,15.378,29.36,44.101,84.2,45.235,22/2
2024-12-10,Κανναβιού,ΠΑΦΟΣ,17.168,0.164,2.721,5.27,30.7,11.167,65.0,11.566,8/2
2024-12-10,Μαυροκόλυμπος,ΠΑΦΟΣ,2.18,0.004,0.276,0.772,35.41,1.183,54.3,1.323,13/4
2024-12-10,Ευρέτου,ΧΡΥΣΟΧΟΥ,24.0,0.095,2.257,5.613,23.39,17.697,73.7,18.427,19/2
2024-12-10,Αργάκα,ΧΡΥΣΟΧΟΥ,0.99,0.025,0.784,0.132,13.33,0.428,43.2,0.99,6/4-23/4
2024-12-10,Πωμός,ΧΡΥΣΟΧΟΥ,0.86,0.034,0.556,0.152,17.67,0.522,60.7,0.86,17/2-1/5
2024-12-10,Αγία_Μαρίνα,ΧΡΥΣΟΧΟΥ,0.298,0.003,0.069,0.066,22.15,0.118,39.6,0.248,9/6
2024-12-10,Βυζακιά,ΛΕΥΚΩΣΙΑ,1.69,0.027,0.379,0.059,3.49,0.951,56.3,1.146,5/3
2024-12-10,Ξυλιάτος,ΛΕΥΚΩΣΙΑ,1.43,0.035,1.041,0.189,13.22,0.821,57.4,1.269,16/4
2024-12-10,Καλοπαναγιώτης,ΛΕΥΚΩΣΙΑ,0.363,0.0,0.106,0.1,27.55,0.363,100.0,0.363,1/1-25/6
2024-12-10,Ταμασός,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.8,0.0,1.695,0.935,33.39,1.539,55.0,2.453,2/4
2024-12-10,Κλήρου-Μαλούντα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,2.0,0.0,0.827,1.242,62.1,1.846,92.3,2.0,27/1-23/4
2024-12-10,Σολέα,ΕΜΠΛΟΥΤΙΣΤΙΚΑ ΚΑΙ ΑΛΛΑ,4.454,0.039,0.869,2.393784292042971,53.74,4.046,90.8,4.454,5/2-2/4
